id,model,make,barrels08,city08,cityCD,cityE,feScore,fuelCost08,fuelType,fuelType1,fuelType2
38002,B250e,Mercedes-Benz,0.24,85.0,0.0,39.4672,10,800.0,Electricity,Electricity,Unknown
38003,488 Spider,Ferrari,18.31,15.0,0.0,0.0,4,2650.0,Premium,Premium Gasoline,Unknown
38004,488 Spider,Ferrari,18.31,16.0,0.0,0.0,4,2650.0,Premium,Premium Gasoline,Unknown
38005,TT Roadster quattro,Audi,12.68,23.0,0.0,0.0,6,1550.0,Regular,Regular Gasoline,Unknown
38006,A3 quattro,Audi,12.21,24.0,0.0,0.0,6,1500.0,Regular,Regular Gasoline,Unknown
38007,TT Coupe quattro,Audi,12.68,23.0,0.0,0.0,6,1550.0,Regular,Regular Gasoline,Unknown
38008,M240i Coupe,BMW,14.98,19.0,0.0,0.0,5,2200.0,Premium,Premium Gasoline,Unknown
38009,M240i xDrive Coupe,BMW,13.18,21.0,0.0,0.0,5,1900.0,Premium,Premium Gasoline,Unknown
3801,F150 Pickup 4WD,Ford,20.6,15.0,0.0,0.0,Unknown,2500.0,Regular,Regular Gasoline,Unknown
38010,M240i Convertible,BMW,14.33,19.0,0.0,0.0,5,2100.0,Premium,Premium Gasoline,Unknown
38011,M240i xDrive Convertible,BMW,13.18,21.0,0.0,0.0,5,1900.0,Premium,Premium Gasoline,Unknown
38012,440i xDrive Convertible,BMW,13.73,20.0,0.0,0.0,5,2000.0,Premium,Premium Gasoline,Unknown
38013,A4 Ultra,Audi,10.63,27.0,0.0,0.0,7,1550.0,Premium,Premium Gasoline,Unknown
38014,340i,BMW,14.33,19.0,0.0,0.0,5,2100.0,Premium,Premium Gasoline,Unknown
38015,340i xDrive,BMW,13.18,21.0,0.0,0.0,5,1900.0,Premium,Premium Gasoline,Unknown
38016,340i xDrive,BMW,14.33,19.0,0.0,0.0,5,2100.0,Premium,Premium Gasoline,Unknown
38017,440i Coupe,BMW,14.33,19.0,0.0,0.0,5,2100.0,Premium,Premium Gasoline,Unknown
38018,440i xDrive Coupe,BMW,13.18,21.0,0.0,0.0,5,1900.0,Premium,Premium Gasoline,Unknown
38019,440i xDrive Coupe,BMW,14.33,19.0,0.0,0.0,5,2100.0,Premium,Premium Gasoline,Unknown
3802,F150 Pickup 4WD,Ford,23.54,14.0,0.0,0.0,Unknown,2850.0,Regular,Regular Gasoline,Unknown
38020,440i xDrive Gran Coupe,BMW,13.18,21.0,0.0,0.0,5,1900.0,Premium,Premium Gasoline,Unknown
38021,Veloster,Hyundai,11.37,26.0,0.0,0.0,7,1400.0,Regular,Regular Gasoline,Unknown
38022,Veloster,Hyundai,11.77,25.0,0.0,0.0,6,1450.0,Regular,Regular Gasoline,Unknown
38023,2,Mazda,9.69,30.0,0.0,0.0,8,1200.0,Regular,Regular Gasoline,Unknown
38024,2,Mazda,9.42,32.0,0.0,0.0,8,1150.0,Regular,Regular Gasoline,Unknown
38025,C300,Mercedes-Benz,11.77,24.0,0.0,0.0,6,1700.0,Premium,Premium Gasoline,Unknown
38026,CLS550,Mercedes-Benz,15.7,18.0,0.0,0.0,4,2300.0,Premium,Premium Gasoline,Unknown
38027,CLS550 4matic,Mercedes-Benz,16.48,17.0,0.0,0.0,4,2400.0,Premium,Premium Gasoline,Unknown
38028,A6 quattro,Audi,13.18,22.0,0.0,0.0,5,1900.0,Premium,Premium Gasoline,Unknown
38029,A6,Audi,11.77,24.0,0.0,0.0,6,1700.0,Premium,Premium Gasoline,Unknown
3803,F150 Pickup 4WD,Ford,27.47,11.0,0.0,0.0,Unknown,3350.0,Regular,Regular Gasoline,Unknown
38030,Mulsanne,Bentley,23.54,11.0,0.0,0.0,1,3400.0,Premium,Premium Gasoline,Unknown
38031,6,Mazda,11.77,24.0,0.0,0.0,6,1450.0,Regular,Regular Gasoline,Unknown
38032,6,Mazda,11.37,26.0,0.0,0.0,7,1400.0,Regular,Regular Gasoline,Unknown
38033,6,Mazda,10.99,27.0,0.0,0.0,7,1350.0,Regular,Regular Gasoline,Unknown
38034,340i xDrive Gran Turismo,BMW,13.73,20.0,0.0,0.0,5,2000.0,Premium,Premium Gasoline,Unknown
38035,SS,Chevrolet,20.6,14.0,0.0,0.0,2,3000.0,Premium,Premium Gasoline,Unknown
38036,SS,Chevrolet,19.39,14.0,0.0,0.0,3,2800.0,Premium,Premium Gasoline,Unknown
38037,Continental  AWD,Lincoln,17.35,16.0,0.0,0.0,4,2100.0,Regular,Regular Gasoline,Unknown
38038,Continental  AWD,Lincoln,16.48,17.0,0.0,0.0,4,2000.0,Regular,Regular Gasoline,Unknown
38039,Continental  FWD,Lincoln,15.7,18.0,0.0,0.0,4,1900.0,Regular,Regular Gasoline,Unknown
3804,F150 Pickup 4WD,Ford,23.54,12.0,0.0,0.0,Unknown,2850.0,Regular,Regular Gasoline,Unknown
38040,Continental  FWD,Lincoln,16.48,17.0,0.0,0.0,4,2000.0,Regular,Regular Gasoline,Unknown
38041,Continental  AWD,Lincoln,17.35,16.0,0.0,0.0,4,2100.0,Regular,Regular Gasoline,Unknown
38042,A4 allroad quattro,Audi,13.18,23.0,0.0,0.0,5,1900.0,Premium,Premium Gasoline,Unknown
38043,Crosstrek AWD,Subaru,12.68,23.0,0.0,0.0,6,1550.0,Regular,Regular Gasoline,Unknown
38044,Crosstrek AWD,Subaru,11.37,26.0,0.0,0.0,7,1400.0,Regular,Regular Gasoline,Unknown
38045,740e xDrive,BMW,8.01,25.0,0.0,53.0,8,1750.0,Premium and Electricity,Premium Gasoline,Electricity
38046,Sonata Plug-in Hybrid,Hyundai,3.88,38.0,0.0,34.0,10,1050.0,Regular Gas and Electricity,Regular Gasoline,Electricity
38047,LaFerrari Aperta,Ferrari,25.35,12.0,0.0,0.0,1,3700.0,Premium,Premium Gasoline,Unknown
38048,AMG SL65,Mercedes-Benz,20.6,13.0,0.0,0.0,2,3000.0,Premium,Premium Gasoline,Unknown
38049,Cooper S Convertible,MINI,11.77,25.0,0.0,0.0,6,1700.0,Premium,Premium Gasoline,Unknown
